Area Name,Occupational Code,Occupational Title,Estimated Employment,Pay Type,Mean Wage,Entry Wage,Experienced Wage,10th Percentile Wage,25th Percentile Wage,Median Wage,75th Percentile Wage,90th Percentile Wage
Southwest Iowa,41-3041,Travel Agents,30,Hourly wage,$17.16,$13.52,$18.97,$12.73,$13.70,$16.22,$20.96,$23.21
Southeast Iowa,41-3041,Travel Agents,30,Annual wage or salary,$35504.00,$20442.00,$43034.00,$17952.00,$23678.00,$37573.00,$46663.00,$51207.00
Southeast Iowa,41-3041,Travel Agents,30,Hourly wage,$17.07,$9.83,$20.69,$8.63,$11.38,$18.06,$22.43,$24.62
Northwest Iowa,41-3041,Travel Agents,40,Annual wage or salary,$28767.00,$21288.00,$32507.00,$17752.00,$25611.00,$28628.00,$31466.00,$38027.00
Northwest Iowa,41-3041,Travel Agents,40,Hourly wage,$13.83,$10.23,$15.63,$8.53,$12.31,$13.76,$15.13,$18.28
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",41-3041,Travel Agents,60,Annual wage or salary,$42207.00,$22401.00,$52110.00,$18166.00,$27726.00,$38568.00,$58246.00,$63331.00
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",41-3041,Travel Agents,60,Hourly wage,$20.29,$10.77,$25.05,$8.73,$13.33,$18.54,$28.00,$30.45
"Des Moines, IA Metropolitan Statistical Area",41-3041,Travel Agents,90,Annual wage or salary,$33640.00,$22222.00,$39349.00,$20795.00,$24576.00,$34370.00,$39002.00,$46803.00
"Des Moines, IA Metropolitan Statistical Area",41-3041,Travel Agents,90,Hourly wage,$16.17,$10.68,$18.92,$10.00,$11.82,$16.52,$18.75,$22.50
"Iowa City, IA Metropolitan Statistical Area",41-3041,Travel Agents,10,Annual wage or salary,$31313.00,$22518.00,$35710.00,$21159.00,$22779.00,$25777.00,$42192.00,$47933.00
"Iowa City, IA Metropolitan Statistical Area",41-3041,Travel Agents,10,Hourly wage,$15.05,$10.83,$17.17,$10.17,$10.95,$12.39,$20.28,$23.04
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",41-3041,Travel Agents,,Annual wage or salary,$36573.00,$29997.00,$39861.00,$23717.00,$33088.00,$36077.00,$39059.00,$45843.00
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",41-3041,Travel Agents,,Hourly wage,$17.58,$14.42,$19.16,$11.40,$15.91,$17.34,$18.78,$22.04
IWD Region 07 (Waterloo Area),41-3041,Travel Agents,60,Annual wage or salary,$42207.00,$22401.00,$52110.00,$18166.00,$27726.00,$38568.00,$58246.00,$63331.00
IWD Region 07 (Waterloo Area),41-3041,Travel Agents,60,Hourly wage,$20.29,$10.77,$25.05,$8.73,$13.33,$18.54,$28.00,$30.45
IWD Region 09 (Davenport Area),41-3041,Travel Agents,50,Annual wage or salary,$40563.00,$32432.00,$44628.00,$32300.00,$34438.00,$38001.00,$47906.00,$59056.00
IWD Region 09 (Davenport Area),41-3041,Travel Agents,50,Hourly wage,$19.50,$15.59,$21.46,$15.53,$16.56,$18.27,$23.03,$28.39
IWD Region 3/4 (Spencer Area),41-3041,Travel Agents,40,Annual wage or salary,$27929.00,$21154.00,$31317.00,$17711.00,$25554.00,$28516.00,$31329.00,$37139.00
IWD Region 3/4 (Spencer Area),41-3041,Travel Agents,40,Hourly wage,$13.43,$10.17,$15.06,$8.51,$12.29,$13.71,$15.06,$17.86
IWD Region 01 (Dubuque-Decorah Area),41-3041,Travel Agents,20,Annual wage or salary,$29156.00,$17307.00,$35081.00,$16652.00,$18236.00,$24785.00,$40052.00,$46874.00
IWD Region 01 (Dubuque-Decorah Area),41-3041,Travel Agents,20,Hourly wage,$14.02,$8.32,$16.87,$8.01,$8.77,$11.92,$19.26,$22.54
IWD Region 13 (Council Bluffs Area),41-3041,Travel Agents,20,Annual wage or salary,$40375.00,$32305.00,$44409.00,$32214.00,$35387.00,$40158.00,$46325.00,$49688.00
IWD Region 13 (Council Bluffs Area),41-3041,Travel Agents,20,Hourly wage,$19.41,$15.53,$21.35,$15.49,$17.01,$19.31,$22.27,$23.89
IWD Region 10 (Cedar Rapids-Iowa City Area),41-3041,Travel Agents,60,Annual wage or salary,$43290.00,$30347.00,$49761.00,$26402.00,$34043.00,$40988.00,$50789.00,$65649.00
IWD Region 10 (Cedar Rapids-Iowa City Area),41-3041,Travel Agents,60,Hourly wage,$20.81,$14.59,$23.92,$12.69,$16.37,$19.71,$24.42,$31.56
IWD Region 11 (Des Moines Area),41-3041,Travel Agents,120,Annual wage or salary,$34844.00,$21970.00,$41281.00,$20339.00,$24602.00,$34254.00,$40682.00,$54738.00
IWD Region 11 (Des Moines Area),41-3041,Travel Agents,120,Hourly wage,$16.75,$10.56,$19.85,$9.78,$11.83,$16.47,$19.56,$26.32
"Cedar Rapids, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",590,Annual wage or salary,$68710.00,$37162.00,$84484.00,$32711.00,$43660.00,$61326.00,$81482.00,$122359.00
"Cedar Rapids, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",590,Hourly wage,$33.03,$17.87,$40.62,$15.73,$20.99,$29.48,$39.17,$58.83
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",41-3099,"Sales Representatives, Services, All Other",410,Annual wage or salary,$66478.00,$29346.00,$85043.00,$26885.00,$33032.00,$56108.00,$81234.00,$138480.00
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",41-3099,"Sales Representatives, Services, All Other",410,Hourly wage,$31.96,$14.11,$40.89,$12.93,$15.88,$26.97,$39.05,$66.58
"Ames, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",170,Annual wage or salary,$55411.00,$24826.00,$70704.00,$21349.00,$29253.00,$48574.00,$72642.00,$108221.00
"Ames, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",170,Hourly wage,$26.64,$11.94,$33.99,$10.26,$14.06,$23.35,$34.92,$52.03
Iowa,41-3099,"Sales Representatives, Services, All Other",5290,Annual wage or salary,$57951.00,$30107.00,$71874.00,$26930.00,$35494.00,$50762.00,$69857.00,$102310.00
Iowa,41-3099,"Sales Representatives, Services, All Other",5290,Hourly wage,$27.86,$14.47,$34.55,$12.95,$17.06,$24.40,$33.59,$49.19
Southwest Iowa,41-3099,"Sales Representatives, Services, All Other",170,Annual wage or salary,$57313.00,$28924.00,$71507.00,$26238.00,$31835.00,$51043.00,$73684.00,$107011.00
Southwest Iowa,41-3099,"Sales Representatives, Services, All Other",170,Hourly wage,$27.55,$13.91,$34.38,$12.61,$15.31,$24.54,$35.42,$51.45
Southeast Iowa,41-3099,"Sales Representatives, Services, All Other",340,Annual wage or salary,$50908.00,$30460.00,$61132.00,$27328.00,$34553.00,$45631.00,$64501.00,$79531.00
Southeast Iowa,41-3099,"Sales Representatives, Services, All Other",340,Hourly wage,$24.48,$14.64,$29.39,$13.14,$16.61,$21.94,$31.01,$38.24
Northwest Iowa,41-3099,"Sales Representatives, Services, All Other",250,Annual wage or salary,$64499.00,$31833.00,$80832.00,$26113.00,$38243.00,$54132.00,$72713.00,$146250.00
Northwest Iowa,41-3099,"Sales Representatives, Services, All Other",250,Hourly wage,$31.01,$15.30,$38.86,$12.55,$18.39,$26.03,$34.96,$70.31
Northeast Iowa,41-3099,"Sales Representatives, Services, All Other",210,Annual wage or salary,$44973.00,$26216.00,$54351.00,$22730.00,$30736.00,$42614.00,$55928.00,$71680.00
Northeast Iowa,41-3099,"Sales Representatives, Services, All Other",210,Hourly wage,$21.62,$12.60,$26.13,$10.93,$14.78,$20.49,$26.89,$34.46
"Sioux City, IA-NE-SD Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",200,Annual wage or salary,$47748.00,$25602.00,$58822.00,$25511.00,$29725.00,$42050.00,$59620.00,$83182.00
"Sioux City, IA-NE-SD Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",200,Hourly wage,$22.96,$12.31,$28.28,$12.26,$14.29,$20.22,$28.66,$39.99
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",280,Annual wage or salary,$49628.00,$25966.00,$61458.00,$22755.00,$29386.00,$44404.00,$63199.00,$85814.00
IWD Region 16 (Burlington-Ft Madison Area),41-3099,"Sales Representatives, Services, All Other",70,Hourly wage,$25.07,$13.63,$30.80,$11.02,$16.48,$23.14,$33.78,$38.65
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",280,Hourly wage,$23.86,$12.48,$29.55,$10.94,$14.13,$21.35,$30.38,$41.26
"Des Moines, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",2180,Annual wage or salary,$58479.00,$31622.00,$71907.00,$28156.00,$36917.00,$50336.00,$66933.00,$100517.00
"Des Moines, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",2180,Hourly wage,$28.11,$15.20,$34.57,$13.54,$17.75,$24.20,$32.18,$48.33
"Dubuque, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",130,Annual wage or salary,$53313.00,$32167.00,$63886.00,$28904.00,$37997.00,$53775.00,$63181.00,$78977.00
"Dubuque, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",130,Hourly wage,$25.63,$15.47,$30.71,$13.90,$18.27,$25.85,$30.38,$37.97
"Iowa City, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",220,Annual wage or salary,$51309.00,$28990.00,$62468.00,$24121.00,$33892.00,$46826.00,$66984.00,$88065.00
"Iowa City, IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",220,Hourly wage,$24.67,$13.94,$30.03,$11.60,$16.29,$22.51,$32.20,$42.34
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",140,Annual wage or salary,$54987.00,$30692.00,$67134.00,$23748.00,$38348.00,$57454.00,$72109.00,$80396.00
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",41-3099,"Sales Representatives, Services, All Other",140,Hourly wage,$26.44,$14.76,$32.28,$11.42,$18.44,$27.62,$34.67,$38.65
IWD Region 07 (Waterloo Area),41-3099,"Sales Representatives, Services, All Other",290,Annual wage or salary,$49573.00,$26170.00,$61275.00,$22816.00,$29842.00,$44404.00,$62892.00,$85127.00
IWD Region 07 (Waterloo Area),41-3099,"Sales Representatives, Services, All Other",290,Hourly wage,$23.83,$12.58,$29.46,$10.97,$14.35,$21.35,$30.24,$40.93
IWD Region 08 (Carroll Area),41-3099,"Sales Representatives, Services, All Other",110,Annual wage or salary,$43508.00,$28842.00,$50841.00,$27119.00,$29170.00,$32727.00,$55525.00,$66832.00
IWD Region 09 (Davenport Area),41-3099,"Sales Representatives, Services, All Other",510,Annual wage or salary,$63860.00,$30286.00,$80647.00,$27614.00,$34516.00,$54612.00,$76835.00,$126482.00
IWD Region 09 (Davenport Area),41-3099,"Sales Representatives, Services, All Other",510,Hourly wage,$30.70,$14.56,$38.77,$13.28,$16.59,$26.26,$36.94,$60.81
IWD Region 08 (Carroll Area),41-3099,"Sales Representatives, Services, All Other",110,Hourly wage,$20.92,$13.87,$24.44,$13.04,$14.02,$15.73,$26.69,$32.13
IWD Region 3/4 (Spencer Area),41-3099,"Sales Representatives, Services, All Other",180,Annual wage or salary,$66237.00,$29375.00,$84667.00,$24080.00,$34659.00,$52818.00,$72719.00,$155153.00
IWD Region 3/4 (Spencer Area),41-3099,"Sales Representatives, Services, All Other",180,Hourly wage,$31.84,$14.12,$40.71,$11.58,$16.66,$25.39,$34.96,$74.59
IWD Region 06 (Marshalltown Area),41-3099,"Sales Representatives, Services, All Other",40,Annual wage or salary,$45445.00,$19039.00,$58648.00,$17022.00,$19161.00,$43494.00,$54799.00,$80226.00
IWD Region 06 (Marshalltown Area),41-3099,"Sales Representatives, Services, All Other",40,Hourly wage,$21.85,$9.15,$28.20,$8.18,$9.21,$20.91,$26.35,$38.57
IWD Region 05 (Ft Dodge-Webster City Area),41-3099,"Sales Representatives, Services, All Other",60,Annual wage or salary,$60180.00,$34787.00,$72877.00,$29740.00,$40477.00,$52183.00,$73551.00,$113687.00
IWD Region 05 (Ft Dodge-Webster City Area),41-3099,"Sales Representatives, Services, All Other",60,Hourly wage,$28.93,$16.72,$35.04,$14.30,$19.46,$25.09,$35.36,$54.66
IWD Region 01 (Dubuque-Decorah Area),41-3099,"Sales Representatives, Services, All Other",160,Annual wage or salary,$51441.00,$29684.00,$62319.00,$26887.00,$35902.00,$52086.00,$61783.00,$76845.00
IWD Region 01 (Dubuque-Decorah Area),41-3099,"Sales Representatives, Services, All Other",160,Hourly wage,$24.73,$14.27,$29.96,$12.93,$17.26,$25.04,$29.70,$36.94
IWD Region 02 (Mason City Area),41-3099,"Sales Representatives, Services, All Other",170,Annual wage or salary,$47794.00,$29580.00,$56901.00,$27507.00,$32708.00,$44810.00,$60235.00,$75349.00
IWD Region 02 (Mason City Area),41-3099,"Sales Representatives, Services, All Other",170,Hourly wage,$22.98,$14.22,$27.36,$13.22,$15.73,$21.54,$28.96,$36.23
IWD Region 15 (Ottumwa Area),41-3099,"Sales Representatives, Services, All Other",70,Annual wage or salary,$42530.00,$26402.00,$50594.00,$23800.00,$29364.00,$38377.00,$54318.00,$69932.00
IWD Region 15 (Ottumwa Area),41-3099,"Sales Representatives, Services, All Other",70,Hourly wage,$20.45,$12.69,$24.32,$11.44,$14.12,$18.45,$26.11,$33.62
IWD Region 16 (Burlington-Ft Madison Area),41-3099,"Sales Representatives, Services, All Other",70,Annual wage or salary,$52153.00,$28343.00,$64058.00,$22925.00,$34275.00,$48135.00,$70269.00,$80399.00
IWD Region 12 (Sioux City Area),41-3099,"Sales Representatives, Services, All Other",200,Annual wage or salary,$47689.00,$25648.00,$58709.00,$25528.00,$29763.00,$41762.00,$59549.00,$83027.00
IWD Region 12 (Sioux City Area),41-3099,"Sales Representatives, Services, All Other",200,Hourly wage,$22.93,$12.33,$28.23,$12.27,$14.31,$20.08,$28.63,$39.92
IWD Region 13 (Council Bluffs Area),41-3099,"Sales Representatives, Services, All Other",210,Annual wage or salary,$59207.00,$30520.00,$73551.00,$25284.00,$37370.00,$59420.00,$76058.00,$94568.00
IWD Region 13 (Council Bluffs Area),41-3099,"Sales Representatives, Services, All Other",210,Hourly wage,$28.47,$14.67,$35.36,$12.16,$17.97,$28.57,$36.57,$45.47
IWD Region 10 (Cedar Rapids-Iowa City Area),41-3099,"Sales Representatives, Services, All Other",850,Annual wage or salary,$62872.00,$33300.00,$77658.00,$30504.00,$38168.00,$56519.00,$78030.00,$115380.00
IWD Region 10 (Cedar Rapids-Iowa City Area),41-3099,"Sales Representatives, Services, All Other",850,Hourly wage,$30.23,$16.01,$37.34,$14.67,$18.35,$27.17,$37.51,$55.47
IWD Region 11 (Des Moines Area),41-3099,"Sales Representatives, Services, All Other",2340,Annual wage or salary,$59034.00,$32042.00,$72530.00,$27863.00,$37862.00,$50926.00,$68595.00,$102254.00
IWD Region 11 (Des Moines Area),41-3099,"Sales Representatives, Services, All Other",2340,Hourly wage,$28.38,$15.40,$34.87,$13.40,$18.20,$24.48,$32.98,$49.16
"Cedar Rapids, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",290,Annual wage or salary,$84562.00,$36448.00,$108619.00,$22376.00,$49643.00,$68318.00,$101601.00,$141070.00
"Cedar Rapids, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",290,Hourly wage,$40.65,$17.52,$52.22,$10.76,$23.87,$32.85,$48.85,$67.82
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",130,Annual wage or salary,$71702.00,$44221.00,$85443.00,$42472.00,$49284.00,$64725.00,$84370.00,$109198.00
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",130,Hourly wage,$34.47,$21.26,$41.08,$20.42,$23.69,$31.12,$40.56,$52.50
"Ames, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",60,Annual wage or salary,$103090.00,$65980.00,$121645.00,$64423.00,$75444.00,$94412.00,$125166.00,$171483.00
"Ames, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",60,Hourly wage,$49.56,$31.72,$58.48,$30.97,$36.27,$45.39,$60.18,$82.44
Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2000,Annual wage or salary,$77519.00,$38081.00,$97238.00,$30815.00,$47143.00,$66466.00,$95910.00,$129121.00
Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2000,Hourly wage,$37.27,$18.31,$46.75,$14.81,$22.66,$31.95,$46.11,$62.08
Southwest Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",90,Annual wage or salary,$65072.00,$30424.00,$82396.00,$27744.00,$32858.00,$41281.00,$78199.00,$166136.00
Southwest Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",90,Hourly wage,$31.28,$14.63,$39.61,$13.34,$15.80,$19.85,$37.60,$79.87
Southeast Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",120,Annual wage or salary,$73952.00,$39350.00,$91252.00,$31272.00,$47951.00,$69970.00,$91425.00,$119625.00
Southeast Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",120,Hourly wage,$35.55,$18.92,$43.87,$15.03,$23.05,$33.64,$43.95,$57.51
Northwest Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",220,Annual wage or salary,$74005.00,$43341.00,$89337.00,$35663.00,$52884.00,$62618.00,$77130.00,$110624.00
Northwest Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",220,Hourly wage,$35.58,$20.84,$42.95,$17.15,$25.43,$30.10,$37.08,$53.18
Northeast Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",120,Annual wage or salary,$70832.00,$30961.00,$90768.00,$26906.00,$36437.00,$70622.00,$95459.00,$108244.00
Northeast Iowa,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",120,Hourly wage,$34.05,$14.88,$43.64,$12.94,$17.52,$33.95,$45.89,$52.04
"Sioux City, IA-NE-SD Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",70,Annual wage or salary,$59519.00,$29054.00,$74752.00,$27145.00,$31644.00,$53051.00,$64299.00,$126431.00
"Sioux City, IA-NE-SD Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",70,Hourly wage,$28.61,$13.97,$35.94,$13.05,$15.21,$25.51,$30.91,$60.78
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",70,Annual wage or salary,$85165.00,$48244.00,$103626.00,$40935.00,$56324.00,$72523.00,$112881.00,$129313.00
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",70,Hourly wage,$40.94,$23.19,$49.82,$19.68,$27.08,$34.87,$54.27,$62.17
"Des Moines, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",710,Annual wage or salary,$79140.00,$37453.00,$99983.00,$25702.00,$47017.00,$67049.00,$101870.00,$131800.00
"Des Moines, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",710,Hourly wage,$38.05,$18.01,$48.07,$12.36,$22.60,$32.24,$48.98,$63.37
"Iowa City, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",50,Annual wage or salary,$76373.00,$49570.00,$89774.00,$39238.00,$60348.00,$82502.00,$94613.00,$101984.00
"Iowa City, IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",50,Hourly wage,$36.72,$23.83,$43.16,$18.86,$29.01,$39.66,$45.49,$49.03
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",50,Annual wage or salary,$63195.00,$47660.00,$70963.00,$43953.00,$51243.00,$64389.00,$74205.00,$80643.00
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",50,Hourly wage,$30.38,$22.91,$34.12,$21.13,$24.64,$30.96,$35.68,$38.77
IWD Region 07 (Waterloo Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",100,Annual wage or salary,$77790.00,$38679.00,$97346.00,$31649.00,$48513.00,$69948.00,$104473.00,$124574.00
IWD Region 07 (Waterloo Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",100,Hourly wage,$37.40,$18.60,$46.80,$15.22,$23.32,$33.63,$50.23,$59.89
IWD Region 09 (Davenport Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",190,Annual wage or salary,$76660.00,$46026.00,$91977.00,$42708.00,$51412.00,$70606.00,$90876.00,$118651.00
IWD Region 09 (Davenport Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",190,Hourly wage,$36.86,$22.13,$44.22,$20.53,$24.72,$33.95,$43.69,$57.04
IWD Region 08 (Carroll Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",60,Annual wage or salary,$53587.00,$33679.00,$63541.00,$33138.00,$37047.00,$54703.00,$67224.00,$78372.00
IWD Region 08 (Carroll Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",60,Hourly wage,$25.76,$16.19,$30.55,$15.93,$17.81,$26.30,$32.32,$37.68
IWD Region 3/4 (Spencer Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",130,Annual wage or salary,$67506.00,$46626.00,$77946.00,$37389.00,$54839.00,$62341.00,$74389.00,$95053.00
IWD Region 3/4 (Spencer Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",130,Hourly wage,$32.45,$22.42,$37.47,$17.98,$26.36,$29.97,$35.76,$45.70
IWD Region 05 (Ft Dodge-Webster City Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",60,Annual wage or salary,,,,,,,,
IWD Region 05 (Ft Dodge-Webster City Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",60,Hourly wage,,,,,,,,
IWD Region 01 (Dubuque-Decorah Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",70,Annual wage or salary,$81402.00,$41002.00,$101602.00,$33802.00,$48717.00,$77390.00,$100181.00,$124324.00
IWD Region 01 (Dubuque-Decorah Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",70,Hourly wage,$39.14,$19.71,$48.85,$16.25,$23.42,$37.21,$48.16,$59.77
IWD Region 02 (Mason City Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",30,Annual wage or salary,$57110.00,$28584.00,$71373.00,$26177.00,$31814.00,$67051.00,$76699.00,$82466.00
IWD Region 02 (Mason City Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",30,Hourly wage,$27.46,$13.74,$34.31,$12.58,$15.30,$32.24,$36.87,$39.65
IWD Region 16 (Burlington-Ft Madison Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",20,Annual wage or salary,$66048.00,$43556.00,$77294.00,$40936.00,$48413.00,$63555.00,$77908.00,$105212.00
IWD Region 16 (Burlington-Ft Madison Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",20,Hourly wage,$31.75,$20.94,$37.16,$19.68,$23.28,$30.56,$37.46,$50.58
IWD Region 12 (Sioux City Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",70,Annual wage or salary,$59519.00,$29054.00,$74752.00,$27145.00,$31644.00,$53051.00,$64299.00,$126431.00
IWD Region 12 (Sioux City Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",70,Hourly wage,$28.61,$13.97,$35.94,$13.05,$15.21,$25.51,$30.91,$60.78
IWD Region 13 (Council Bluffs Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",80,Annual wage or salary,$78354.00,$47611.00,$93726.00,$43232.00,$53643.00,$68620.00,$82168.00,$166401.00
IWD Region 13 (Council Bluffs Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",80,Hourly wage,$37.67,$22.89,$45.06,$20.78,$25.79,$32.99,$39.50,$80.00
IWD Region 14 (Creston Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",,Annual wage or salary,$37141.00,$28054.00,$41685.00,$25793.00,$26882.00,$28697.00,$30511.00,$70409.00
IWD Region 14 (Creston Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",,Hourly wage,$17.86,$13.49,$20.04,$12.40,$12.92,$13.80,$14.67,$33.85
IWD Region 10 (Cedar Rapids-Iowa City Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",340,Annual wage or salary,$82980.00,$38572.00,$105183.00,$26648.00,$52352.00,$70628.00,$98475.00,$131078.00
IWD Region 10 (Cedar Rapids-Iowa City Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",340,Hourly wage,$39.89,$18.54,$50.57,$12.81,$25.17,$33.96,$47.34,$63.02
IWD Region 11 (Des Moines Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",770,Annual wage or salary,$80182.00,$37829.00,$101359.00,$27887.00,$47564.00,$70222.00,$103395.00,$133417.00
IWD Region 11 (Des Moines Area),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",770,Hourly wage,$38.55,$18.19,$48.73,$13.41,$22.87,$33.76,$49.71,$64.14
"Cedar Rapids, IA Metropolitan Statistical Area",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1630,Annual wage or salary,$65272.00,$36137.00,$79840.00,$30516.00,$44083.00,$58838.00,$78695.00,$105733.00
"Cedar Rapids, IA Metropolitan Statistical Area",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1630,Hourly wage,$31.38,$17.37,$38.38,$14.67,$21.19,$28.29,$37.83,$50.83
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1050,Annual wage or salary,$73707.00,$37735.00,$91693.00,$34535.00,$44728.00,$62943.00,$90090.00,$123207.00
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1050,Hourly wage,$35.44,$18.14,$44.08,$16.60,$21.50,$30.26,$43.31,$59.23
